,Unnamed: 0,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1670,69971,5YJSA1DN3C,San Juan,Friday Harbor,WA,98250.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,40.0,196832079,POINT (-123.02225499999997 48.531355000000076),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960301.0
1671,69983,5YJSA1H28E,King,Medina,WA,98039.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48.0,135569010,POINT (-122.22802499999995 47.615980000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200.0
1672,69989,WBAJB1C53K,King,Bellevue,WA,98005.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,41.0,114559777,POINT (-122.16084999999998 47.62451500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603.0
1673,70035,5YJSA1CP8D,King,Seattle,WA,98103.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46.0,349769290,POINT (-122.34300999999999 47.659185000000036),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800.0
1674,70053,KNDJP3AE7G,King,North Bend,WA,98045.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,5.0,261206858,POINT (-121.78140119999995 47.49353160000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704.0
1675,70095,5YJSA1H17E,King,Kirkland,WA,98033.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48.0,159930081,POINT (-122.20263999999997 47.67850000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701.0
1676,70136,5YJRE11B08,King,Bellevue,WA,98004.0,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,98950,48.0,178726425,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805.0
1677,70185,KNDJX3AE2G,Clark,La Center,WA,98629.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,18.0,102738289,POINT (-122.67062459999994 45.866254800000036),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040201.0
1678,70206,5YJSA1DP5D,King,Kirkland,WA,98033.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48.0,119757501,POINT (-122.20263999999997 47.67850000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
1679,70227,5YJSA1DN8D,King,Mercer Island,WA,98040.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,186089648,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601.0
1680,70229,5YJSA1DPXD,King,Seattle,WA,98199.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36.0,222261091,POINT (-122.394185 47.63919500000003),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700.0
1681,70283,KNDJX3AE7G,King,Redmond,WA,98052.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,48.0,348612225,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324.0
1682,70416,5YJSA1CG9D,King,Seattle,WA,98115.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46.0,164616924,POINT (-122.31849999999997 47.679490000000044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033004102.0
1683,70417,WBAJB1C59J,King,Seattle,WA,98144.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,37.0,232448856,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900.0
1684,70487,YV4BR0PLXJ,King,Kirkland,WA,98033.0,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,45.0,207523207,POINT (-122.20263999999997 47.67850000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0
1685,70499,KNDJP3AE2H,Kitsap,Olalla,WA,98359.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,26.0,177712692,POINT (-122.54482999999999 47.41801000000004),PUGET SOUND ENERGY INC,53035092802.0
1686,70529,5YJSA1AGXD,King,Newcastle,WA,98056.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,4561609,POINT (-122.18050499999998 47.50005500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
1687,70544,5YJRE1A34B,King,Mercer Island,WA,98040.0,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,109000,41.0,9547569,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601.0
1688,70560,YV4BR0DL3J,Kitsap,Seabeck,WA,98380.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,35.0,243938173,POINT (-122.84746199999995 47.638360000000034),PUGET SOUND ENERGY INC,53035091301.0
1689,70570,5YJSA1S16E,Snohomish,Everett,WA,98208.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44.0,112857139,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061052120.0
1690,70574,LYVBR0DMXK,King,Sammamish,WA,98074.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,45.0,238626930,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316.0
1691,70576,5YJSA1S16E,Kitsap,Bainbridge Island,WA,98110.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23.0,213874790,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035091001.0
1692,70623,5YJSA1H24E,Snohomish,Lynnwood,WA,98087.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21.0,198749484,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061051804.0
1693,70642,LYVBR0DM1K,King,Kirkland,WA,98034.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,1.0,180847649,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022201.0
1694,70703,5YJSA1H15E,Pierce,Puyallup,WA,98371.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,25.0,348547076,POINT (-122.299155 47.19178),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073404.0
