,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
79297,7FCEHDB76N,Pierce,Lakewood,WA,98439.0,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,28.0,224638683,POINT (-122.529685 47.127165),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072000.0
106042,5YJ3E1EA0P,Island,Coupeville,WA,98239.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10.0,228367758,POINT (-122.68127499999997 48.21784000000008),PUGET SOUND ENERGY INC,53029971000.0
20207,5UXTS1C02M,King,Renton,WA,98057.0,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,11.0,207096711,POINT (-122.21024 47.4797047),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025704.0
101072,7SAYGDEF7P,King,Issaquah,WA,98029.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,238742248,POINT (-121.99959499999994 47.54763500000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220.0
80142,1N4BZ1BV1N,King,Maple Valley,WA,98038.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,194270345,POINT (-122.05190999999996 47.35798500000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032003.0
118466,KM8KNDAF3P,King,Seattle,WA,98106.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34.0,219272931,POINT (-122.35614499999997 47.52104000000003),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011401.0
115881,5YJ3E1EA1K,Pierce,Steilacoom,WA,98388.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,28.0,330807480,POINT (-122.5970685 47.1686632),BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072109.0
126539,5YJ3E1ECXL,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,1.0,4903426,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051916.0
67978,5YJXCBE28G,King,Seattle,WA,98126.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,34.0,213439754,POINT (-122.37439 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701.0
141739,1G1FW6S08J,King,Seattle,WA,98104.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,43.0,121389957,POINT (-122.329075 47.6018),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500.0
75506,5YJ3E1EB6J,Kitsap,Bainbridge Island,WA,98110.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23.0,473870120,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035091001.0
120402,KM8KNDAF3P,Snohomish,Marysville,WA,98270.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,229452898,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052711.0
28885,3C3CFFGE9H,King,Seattle,WA,98119.0,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36.0,110075507,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800.0
96591,JTMAB3FV3M,San Juan,Friday Harbor,WA,98250.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,40.0,196650555,POINT (-123.02225499999997 48.531355000000076),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960400.0
142402,5YJSA1ACXD,Pierce,Tacoma,WA,98409.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,29.0,198513395,POINT (-122.47913 47.2198),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062902.0
94826,7SAYGDEE0P,Benton,Kennewick,WA,99336.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,8.0,240391819,POINT (-119.113535 46.204945),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010809.0
135922,5YJ3E1EA7P,Pierce,Tacoma,WA,98422.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,27.0,230590412,POINT (-122.38578 47.28971),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940005.0
110070,JN1BF0BAXP,Snohomish,Marysville,WA,98271.0,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38.0,240321322,POINT (-122.1713847 48.10433),PUGET SOUND ENERGY INC,53061940001.0
24210,WVGUNPE25N,Clark,Vancouver,WA,98660.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49.0,226083063,POINT (-122.675975 45.630465),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042300.0
10659,5YJ3E1EA9N,King,Seatac,WA,98148.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,207750567,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500.0
140323,5YJ3E1EB0J,Snohomish,Lake Stevens,WA,98258.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44.0,342806425,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052506.0
90985,WB523CF02N,Pierce,Edgewood,WA,98372.0,2022,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,241628068,POINT (-122.28718 47.190465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073502.0
104909,WB523CF0XP,King,Sammamish,WA,98074.0,2023,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,235282631,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
16508,JHMZC5F34J,King,Seattle,WA,98112.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,43.0,208696904,POINT (-122.30763999999999 47.625230000000045),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
30295,5YJ3E1EA8L,Clark,Vancouver,WA,98683.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,17.0,113701836,POINT (-122.48538729999996 45.60833470000006),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041323.0
24231,5YJYGAEE7M,King,Seattle,WA,98199.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,180157036,POINT (-122.394185 47.63919500000003),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803.0
41793,5YJ3E1EB8N,Clark,Battle Ground,WA,98604.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18.0,207950704,POINT (-122.53217999999998 45.779450000000054),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040504.0
126959,1C4JJXP69N,Whatcom,Bellingham,WA,98229.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,40.0,207832936,POINT (-122.45692269999995 48.747097300000064),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001202.0
17582,YV4BR0CL1M,King,Bellevue,WA,98004.0,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,41.0,171171115,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807.0
33012,YV4BR0CK6M,King,Seattle,WA,98199.0,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,36.0,157492506,POINT (-122.394185 47.63919500000003),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700.0
