,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
17336,JHMZC5F13J,King,Sammamish,WA,98074.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,45.0,237126459,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.0
81271,7SAYGDEE7P,Kitsap,Bremerton,WA,98312.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35.0,241473200,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080700.0
115331,WMEEJ9AA0E,Clallam,Sequim,WA,98382.0,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,24.0,121516293,POINT (-123.105015 48.08104),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009002100.0
105385,5YJSA1H28F,Pierce,Tacoma,WA,98407.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,27.0,218632837,POINT (-122.5113356 47.2923828),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060300.0
46613,LPSED3KA3N,King,Seattle,WA,98122.0,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43.0,193915578,POINT (-122.30838999999997 47.61036500000006),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008402.0
8315,7PDSGABA0P,King,Bothell,WA,98011.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,237640126,POINT (-122.20577999999995 47.76240500000006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905.0
3161,5UX43EU03R,King,Lake Forest Park,WA,98155.0,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,46.0,244310370,POINT (-122.31749999999994 47.757814600000074),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021400.0
119791,5YJ3E1EA6K,King,Sammamish,WA,98075.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,41.0,128708919,POINT (-122.03308999999996 47.58153000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218.0
114252,1G1RC6E40E,Mason,Grapeview,WA,98546.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,35.0,186703800,POINT (-122.95316999999994 47.32584500000007),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960403.0
66758,5YJ3E1EB4N,King,Sammamish,WA,98075.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,207710821,POINT (-122.03308999999996 47.58153000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216.0
112295,5YJ3E1EB8K,Snohomish,Marysville,WA,98270.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,38.0,117164757,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052805.0
42798,1C4JJXP66P,King,Mercer Island,WA,98040.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,41.0,228254596,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500.0
57681,5UXTA6C09N,King,Seattle,WA,98105.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,46.0,196713961,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004201.0
130638,7SAYGAEE3P,King,Maple Valley,WA,98038.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,229173276,POINT (-122.05190999999996 47.35798500000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010.0
114245,7SAYGDEE7P,Snohomish,Mill Creek,WA,98012.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,232651639,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052008.0
31169,5UXKT0C50J,King,Kent,WA,98042.0,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,47.0,338590731,POINT (-122.11162499999995 47.360780000000034),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708.0
45128,7SAYGDEF2N,King,Bellevue,WA,98004.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,220913017,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002.0
13865,3FMTK3SU3M,King,Seattle,WA,98177.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,144297394,POINT (-122.38242499999996 47.77279000000004),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600.0
56173,5YJ3E1EB1J,King,Seattle,WA,98105.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46.0,476054197,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004202.0
55383,1G1FW6S01J,Thurston,Olympia,WA,98501.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22.0,2801844,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011626.0
91615,5UXTA6C08M,King,Woodinville,WA,98072.0,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,45.0,224191852,POINT (-122.15166499999998 47.75855000000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032322.0
25893,WVGUNPE26M,King,Issaquah,WA,98029.0,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,207247603,POINT (-121.99959499999994 47.54763500000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221.0
127016,KNDRMDLH1P,King,Kent,WA,98032.0,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,33.0,245848200,POINT (-122.235475 47.3809),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029101.0
